"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 20 11:03:13 WAT 2023","Wed Sep 20 11:03:14 WAT 2023","1084","firefox","","Verify page loading","","","/ Check existence of Bookmaker Vertical",""
"passed","Wed Sep 20 11:03:01 WAT 2023","Wed Sep 20 11:03:02 WAT 2023","1118","firefox","","Verify page loading","","","// Check existence of *payment options*",""
"passed","Wed Sep 20 11:03:10 WAT 2023","Wed Sep 20 11:03:10 WAT 2023","473","firefox","","Verify page loading","","","/pronostico-final-champions.html Check existence of Pronostic Image",""
"passed","Wed Sep 20 11:02:54 WAT 2023","Wed Sep 20 11:02:58 WAT 2023","3254","firefox","","Verify page loading","","","// Check existence of *123BLACKJACK header*",""
"passed","Wed Sep 20 11:04:17 WAT 2023","Wed Sep 20 11:04:18 WAT 2023","1078","webkit","","Verify page loading","","","/ Check existence of Age restriction +18",""
"passed","Wed Sep 20 11:02:58 WAT 2023","Wed Sep 20 11:02:59 WAT 2023","1515","firefox","","Verify page loading","","","// Check existence of *Les meilleurs casinos en ligne évalués par nos experts*",""
"passed","Wed Sep 20 11:03:11 WAT 2023","Wed Sep 20 11:03:12 WAT 2023","1274","firefox","","Verify page loading","","","/casino/ Check existence of Header",""
"passed","Wed Sep 20 11:03:03 WAT 2023","Wed Sep 20 11:03:05 WAT 2023","1246","firefox","","Verify page loading","","","// Check existence of *Age restriction +18*",""
"passed","Wed Sep 20 11:02:28 WAT 2023","Wed Sep 20 11:02:28 WAT 2023","540","chromium","","Verify page loading","","","/pronostico-final-champions.html Check existence of Pronostic Image",""
"passed","Wed Sep 20 11:02:59 WAT 2023","Wed Sep 20 11:03:00 WAT 2023","955","firefox","","Verify page loading","","","// Check existence of *Casinos toplist*",""
"passed","Wed Sep 20 11:02:29 WAT 2023","Wed Sep 20 11:02:30 WAT 2023","1419","chromium","","Verify page loading","","","/casino/ Check existence of Header",""
"passed","Wed Sep 20 11:02:52 WAT 2023","Wed Sep 20 11:02:53 WAT 2023","1044","firefox","","Verify page loading","","","/news.html/ Check existence of *Breadcrumb*",""
"passed","Wed Sep 20 11:03:29 WAT 2023","Wed Sep 20 11:03:30 WAT 2023","1462","webkit","","Verify page loading","","","/news.html/ Check existence of *Breadcrumb*",""
"passed","Wed Sep 20 11:03:16 WAT 2023","Wed Sep 20 11:03:16 WAT 2023","676","firefox","","Verify page loading","","","/ Check existence of newsletter",""
"passed","Wed Sep 20 11:02:15 WAT 2023","Wed Sep 20 11:02:16 WAT 2023","980","chromium","","Verify page loading","","","// Check existence of *Casinos toplist*",""
"passed","Wed Sep 20 11:03:14 WAT 2023","Wed Sep 20 11:03:14 WAT 2023","601","firefox","","Verify page loading","","","/ Check existence of Top casinos",""
"passed","Wed Sep 20 11:04:07 WAT 2023","Wed Sep 20 11:04:10 WAT 2023","2163","webkit","","Verify page loading","","","/casino/ Check existence of Header",""
"passed","Wed Sep 20 11:03:02 WAT 2023","Wed Sep 20 11:03:03 WAT 2023","1079","firefox","","Verify page loading","","","// Check existence of *last news*",""
"passed","Wed Sep 20 11:02:17 WAT 2023","Wed Sep 20 11:02:18 WAT 2023","1057","chromium","","Verify page loading","","","// Check existence of *payment options*",""
"passed","Wed Sep 20 11:04:12 WAT 2023","Wed Sep 20 11:04:13 WAT 2023","1132","webkit","","Verify page loading","","","/ Check existence of Top casinos",""
"passed","Wed Sep 20 11:01:59 WAT 2023","Wed Sep 20 11:02:09 WAT 2023","10097","chromium","","Verify page loading","","","/news.html/ Check existence of *News bloc*",""
"passed","Wed Sep 20 11:03:14 WAT 2023","Wed Sep 20 11:03:15 WAT 2023","590","firefox","","Verify page loading","","","/ Check existence of toplists",""
"passed","Wed Sep 20 11:03:05 WAT 2023","Wed Sep 20 11:03:09 WAT 2023","4447","firefox","","Verify page loading","","","/pronostico-final-champions.html Check existence of pronostic block",""
"passed","Wed Sep 20 11:02:16 WAT 2023","Wed Sep 20 11:02:17 WAT 2023","1001","chromium","","Verify page loading","","","// Check existence of *casino of the month*",""
